term
"11 - Permanent upper right central incisor tooth"
"12 - Permanent upper right lateral incisor tooth"
"13 - Permanent upper right canine tooth"
"14 - Permanent upper right first premolar tooth"
"15 - Permanent upper right second premolar tooth"
"16 - Permanent upper right first molar tooth"
"17 - Permanent upper right second molar tooth"
"18 - Permanent upper right third molar tooth"
"1st left lumbar vein"
"1st right lumbar vein"
"21 - Permanent upper left central incisor tooth"
"22 - Permanent upper left lateral incisor tooth"
"23 - Permanent upper left canine tooth"
"24 - Permanent upper left first premolar tooth"
"25 - Permanent upper left second premolar tooth"
"26 - Permanent upper left first molar tooth"
"27 - Permanent upper left second molar tooth"
"28 - Permanent upper left third molar tooth"
"2nd left lumbar vein"
"2nd right lumbar vein"
"31 - Permanent lower left central incisor tooth"
"32 - Permanent lower left lateral incisor tooth"
"33 - Permanent lower left canine tooth"
"34 - Permanent lower left first premolar tooth"
"35 - Permanent lower left second premolar tooth"
"36 - Permanent lower left first molar tooth"
"37 - Permanent lower left second molar tooth"
"38 - Permanent lower left third molar tooth"
"3rd left lumbar vein"
"3rd right lumbar vein"
"41 - Permanent lower right central incisor tooth"
"42 - Permanent lower right lateral incisor tooth"
"43 - Permanent lower right canine tooth"
"44 - Permanent lower right first premolar tooth"
"45 - Permanent lower right second premolar tooth"
"46 - Permanent lower right first molar tooth"
"47 - Permanent lower right second molar tooth"
"48 - Permanent lower right third molar tooth"
"4th left lumbar vein"
"4th right lumbar vein"
"5/6 interchondral joint"
"5/6 interchondral joint (body structure)"
"51 - Primary upper right central incisor tooth"
"52 - Primary upper right lateral incisor tooth"
"53 - Primary upper right canine tooth"
"54 - Primary upper right first molar tooth"
"55 - Primary upper right second molar tooth"
"6/7 interchondral joint"
"6/7 interchondral joint (body structure)"
"61 - Primary upper left central incisor tooth"
"62 - Primary upper left lateral incisor tooth"
"63 - Primary upper left canine tooth"
"64 - Primary upper left first molar tooth"
"65 - Primary upper left second molar tooth"
"7/8 interchondral joint"
"7/8 interchondral joint (body structure)"
"71 - Primary lower left central incisor tooth"
"72 - Primary lower left lateral incisor tooth"
"73 - Primary lower left canine tooth"
"74 - Primary lower left first molar tooth"
"75 - Primary lower left second molar tooth"
"8/9 interchondral joint"
"8/9 interchondral joint (body structure)"
"81 - Primary lower right central incisor tooth"
"82 - Primary lower right lateral incisor tooth"
"83 - Primary lower right canine tooth"
"84 - Primary lower right first molar tooth"
"85 - Primary lower right second molar tooth"
"AA - Aortic arch"
"AA - Ascending aorta"
Abdomen
"Abdomen, excluding retroperitoneal region"
"Abdomen, excluding retroperitoneal region (body structure)"
"Abdomen, NOS"
"Abdominal and pelvic vascular structure"
"Abdominal and pelvic vascular structure (body structure)"
"Abdominal aorta"
"Abdominal aorta structure"
"Abdominal aorta structure (body structure)"
"Abdominal aortic plexus"
"Abdominal aortic plexus structure"
"Abdominal aortic plexus structure (body structure)"
"Abdominal artery"
"Abdominal cavity"
"Abdominal cavity proper"
"Abdominal cavity proper structure"
"Abdominal cavity proper structure (body structure)"
"Abdominal cavity structure"
"Abdominal cavity structure (body structure)"
"Abdominal cavity, NOS"
"Abdominal cutaneous nerve"
"Abdominal cutaneous nerve (body structure)"
"Abdominal esophagus"
